######################################
# Bloody Rally Show translations file 
# Locale: English
# Author: Tomas Varaneckas
# Contact: tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,ブレイス・ストーン
tr.gen.full_circuit.tip,コース形状とオブジェクトを含めた完全なサーキットを生成します。現在のコースは置き換えられます。
tr.gen.full_open,完成済オープンロード
tr.gen.full_open.tip,コース形状とオブジェクトを含めた完全なオープンロードを生成します。現在のコースは置き換えられます。
tr.gen.circuit,サーキット
tr.gen.circuit.tip,閉じた（ループ形状）サーキットのコース形状を生成します。現在のコースは置き換えられ、オブジェクトも削除されます。
tr.gen.open,オープンロード
tr.gen.open.tip,開放型（スタートとゴール間を１度だけ走行する）コースの形状を生成します。現在のコースは置き換えられ、オブジェクトも削除されます。
tr.gen.all_objects,すべてのオブジェクト
tr.gen.all_objects.tip,新しいオブジェクトを生成します。既存のオブジェクトはすべて置き換えられます。
tr.gen.object_groups,オブジェクトグループ
tr.gen.object_groups.tip,オブジェクトグループを手動で生成します。既存のものはすべて置き換えられます。
tr.gen.crowd,観客
tr.gen.crowd.tip,観客を生成します。既存のものはすべて置き換えられます。
tr.gen.forests,森林
tr.gen.forests.tip,森林を生成します。既存のものはすべて置き換えられます。都市型コースで使用すると、緑のマスがすべて削除されます！
tr.gen.flowers,花畑
tr.gen.flowers.tip,花畑を生成します。既存のものはすべて置き換えられます。都市型コースでは無効です。
tr.gen.bushes,茂み
tr.gen.bushes.tip,茂みを生成します。既存のものはすべて置き換えられます。都市型コースでは無効です。
tr.gen.rocks,岩
tr.gen.rocks.tip,岩を生成します。既存のものはすべて置き換えられます。
tr.gen.tires,タイヤ
tr.gen.tires.tip,タイヤを生成します。既存のものはすべて置き換えられます。
tr.gen.cones,コーン
tr.gen.cones.tip,コーンを生成します。既存のものはすべて置き換えられます。
tr.gen.walls,壁
tr.gen.walls.tip,壁を生成します。既存のものはすべて置き換えられます。
tr.gen.lamps,街灯
tr.gen.lamps.tip,街灯を生成します。既存のものはすべて置き換えられます。
tr.gen.buildings,建築物
tr.gen.buildings.tip,建築物を生成します。既存のものはすべて置き換えられます。
tr.gen.puddles,水たまり
tr.gen.puddles.tip,水たまりを生成します。既存のものはすべて置き換えられます。
tr.gen.ramps,ジャンプ台
tr.gen.ramps.tip,ジャンプ台を生成します。既存のものはすべて置き換えられます。

tr.ground_type,地面タイプ
tr.ground_type.grass,草
tr.ground_type.tarmac,ターマック舗装
tr.ground_type.dirt,ダート（未舗装）
tr.ground_type.sand,砂
tr.ground_type.snow,雪

tr.ground_detail,地面詳細
tr.ground_detail.none,なし
tr.ground_detail.none.tip,地面の詳細レイヤを削除します
tr.ground_detail.shared_tip,地面の詳細を追加します。クリックするたびに異なるパターンが組み合わせとして適用されます

tr.track_type,コースタイプ
tr.track_type.asphalt,アスファルト
tr.track_type.gravel,砂利
tr.track_type.snow,雪

tr.ed_track,コース編集
tr.ed_track.add,追加
tr.ed_track.add.tip,地面をクリックするとコースの末尾に新しいセグメントが追加されます。ループしている場合は、スタートとゴールが一時的に切断されます。
tr.ed_track.split,分割
tr.ed_track.split.tip,コース上の地面をクリックして、セグメントを分割します
tr.ed_track.edit,編集
tr.ed_track.edit.tip,ハンドルをクリック＆ドラッグして、コースのカーブの曲がり具合を調整します
tr.ed_track.delete,削除
tr.ed_track.delete.tip,ハンドルをクリックしてコースのノードを削除します
tr.ed_track.open_close,オープン／クローズ
tr.ed_track.open_close.tip,クリックすると、コースのループ状態が切り替わります
tr.ed_track.auto_smooth,自動スムーズ
tr.ed_track.auto_smooth.tip,コースのカーブを自動的に調整して滑らかにします
tr.ed_track.randomize,ランダム生成
tr.ed_track.randomize.tip,現在のコースにランダムなカーブを追加します
tr.ed_track.sharpen,シャープ化
tr.ed_track.sharpen.tip,カーブの一部を鋭くします（コースが大きいと数秒かかる場合があります）
tr.ed_track.wider,幅を広げる
tr.ed_track.wider.tip,コースの幅を広げます
tr.ed_track.narrower,幅を狭める
tr.ed_track.narrower.tip,トラックの幅を狭めます
tr.ed_track.grow,拡大
tr.ed_track.grow.tip,コース全体を拡大します
tr.ed_track.shrink,縮小
tr.ed_track.shrink.tip,コース全体を縮小します
tr.ed_track.move_start,スタート位置移動
tr.ed_track.move_start.tip,スタート位置を次の制御点へ移動します（ループするコースのみ）
tr.ed_track.recenter,中央に再配置
tr.ed_track.recenter.tip,コースとすべてのオブジェクトを中央になるように再配置します
tr.ed_track.rotate,回転
tr.ed_track.rotate.tip,コースとすべてのオブジェクトを時計回りに45度ずつ回転します

tr.add_obj,オブジェクト追加
tr.add_obj.group,オブジェクトグループ
tr.add_obj.group.tip,オブジェクトの集団を追加します。もう一度クリックするとランダムに設置されます。
tr.add_obj.forest,森林
tr.add_obj.forest.tip,ランダムな樹木をまとめて生成します
tr.add_obj.flowers,花畑
tr.add_obj.flowers.tip,ランダムな花をまとめて生成します
tr.add_obj.crowd,観客
tr.add_obj.crowd.tip,観客エリアに歩行者が出現させます。仮設トイレや雪だるまが出現することもあります
tr.add_obj.cone,コーン
tr.add_obj.cone.tip,ボタンを押してドラッグすると一列に配置します
tr.add_obj.tire,タイヤ
tr.add_obj.tire.tip,ボタンを押してドラッグすると一列に配置します
tr.add_obj.porta_potty,仮設トイレ
tr.add_obj.porta_potty.tip,仮設トイレを弾き飛ばすとニトロが少し回復します
tr.add_obj.barrel,ドラム缶
tr.add_obj.barrel.tip,ドラム缶に高速で衝突すると爆発することがあります
tr.add_obj.snowman,雪だるま
tr.add_obj.snowman.tip,壊すとニトロが少し回復
tr.add_obj.street_lamp,街灯
tr.add_obj.junk_car,ボロ車
tr.add_obj.hot_dog_truck,ホットドッグ販売トラック
tr.add_obj.hot_dog_cart,ホットドッグ屋台
tr.add_obj.bench,ベンチ
tr.add_obj.water_puddle,水たまり
tr.add_obj.water_puddle.tip,少し滑りやすいです
tr.add_obj.water_pond,Water 池
tr.add_obj.water_pond.tip,少し滑りやすいです
tr.add_obj.ice_patch,路面凍結
tr.add_obj.ice_patch.tip,かなり滑りやすいです
tr.add_obj.oil_spill,オイル溜まり
tr.add_obj.oil_spill.tip,非常に滑りやすいです
tr.add_obj.ramp,ジャンプ台
tr.add_obj.ramp.tip,マシンがジャンプできる傾斜台です。わずかに加速します
tr.add_obj.power_ramp,パワージャンプ台
tr.add_obj.power_ramp.tip,ジャンプ前に大きな加速が得られるジャンプ台の強化版です
tr.add_obj.crop_field,畑
tr.add_obj.rock,岩
tr.add_obj.desert_rock,砂漠の岩
tr.add_obj.wall,壁
tr.add_obj.pipe,パイプ
tr.add_obj.solar_panels,ソーラーパネル
tr.add_obj.silo,サイロ
# Thing for retrieving water from the ground
tr.add_obj.well,井戸
tr.add_obj.old_hut,古い小屋
tr.add_obj.vault,倉庫
tr.add_obj.house,家
tr.add_obj.building,建築物
tr.add_obj.grass_square,芝生タイル
tr.add_obj.grass_square.tip,アスファルト上に樹木や花を配置するための土台になります
tr.add_obj.bush,茂み
tr.add_obj.bush.tip,破壊可能な装飾的な茂みです
tr.add_obj.green_tree,緑の樹木
tr.add_obj.branch_tree,枝だけの樹木
tr.add_obj.snow_tree,雪が積もった樹木
tr.add_obj.flowers_single,花（単品）

tr.ed_obj,オブジェクト編集
tr.ed_obj.move,移動
tr.ed_obj.move.tip,オブジェクトをクリック＆ドラッグして移動します
tr.ed_obj.rotate,回転
tr.ed_obj.rotate.tip,オブジェクトをクリック＆ドラッグして回転します。Shiftを推しながら操作すると微調整できます
tr.ed_obj.delete,削除
tr.ed_obj.delete.tip,オブジェクトをクリックして削除します
tr.ed_obj.clear_all,すべて削除
tr.ed_obj.clear_all.tip,コース上のすべてのオブジェクトを削除します
tr.ed_obj.clear_groups,グループ削除
tr.ed_obj.clear_groups.tip,手動で作成したオブジェクトグループを削除します
tr.ed_obj.clear_crowd,観客削除
tr.ed_obj.clear_crowd.tip,すべての観客を削除します
tr.ed_obj.clear_forests,森林削除
tr.ed_obj.clear_forests.tip,すべての森林を削除します。都市型コースで使用すると緑のタイルもすべて削除されます！ 個別に配置した樹木は削除されません。
tr.ed_obj.clear_flowers,花畑削除
tr.ed_obj.clear_flowers.tip,すべての花畑を削除します。都市型コースでは無効です。個別に配置した花は削除されません。
tr.ed_obj.clear_bushes,茂み削除
tr.ed_obj.clear_bushes.tip,すべての茂みを削除します。都市型コースでは無効です。
tr.ed_obj.clear_rocks,岩削除
tr.ed_obj.clear_rocks.tip,すべての岩を削除します
tr.ed_obj.clear_tires,タイヤ削除
tr.ed_obj.clear_tires.tip,すべてのタイヤを削除します
tr.ed_obj.clear_cones,コーン削除
tr.ed_obj.clear_cones.tip,すべてのコーンを削除
tr.ed_obj.clear_walls,壁削除
tr.ed_obj.clear_walls.tip,すべての壁を削除
tr.ed_obj.clear_lamps,街灯削除
tr.ed_obj.clear_lamps.tip,すべての街灯を削除
tr.ed_obj.clear_buildings,建築物削除
tr.ed_obj.clear_buildings.tip,すべての家と建物を削除します
tr.ed_obj.clear_puddles,パドル（水場関係）削除
tr.ed_obj.clear_puddles.tip,すべての水たまり・氷・オイルを削除します
tr.ed_obj.clear_ramps,ジャンプ台削除
tr.ed_obj.clear_ramps.tip,すべてのジャンプ台を削除します

tr.test_drive,テスト走行
tr.test_drive_ai,AIでテスト走行
tr.help,ヘルプ

# Car Editor

ced.select_base_car,ベースにするマシンを選択
ced.select_car,マシンを選択

ced.new_car,新しいマシン
ced.open_car,マシンを開く
ced.download_cars,ダウンロードしたマシン
ced.exit,終了
ced.save_car,マシンを保存
ced.delete_car,削除
ced.parameters,パラメータ
ced.edit_sprites,スプライト編集
ced.description,説明文
ced.part_positions,パーツ位置
ced.sounds,サウンド
ced.modding_guide,Modガイド
ced.share,公開
ced.reload_sprites,スプライト再読み込み
ced.close,閉じる
ced.test_drive,テスト走行
ced.end_test_drive,テスト走行を終了

ced.speed_idx,性能指数
ced.price,価格
ced.price.tip,価格は性能指数で自動的に計算されます。
ced.req_level,必要レベル
ced.req_level.tip,必要レベルは性能指数で自動的に計算されます。
ced.label.general,総合性能
ced.max_speed_kmh,最高速度(kmh)
ced.max_speed_kmh.tip,ギアボックスを正しく動作させるために必要です。長い直線で試走して最高速度を確認しましょう。
ced.mass_kg,車体重量(kg)
ced.mass_kg.tip,軽量な車体 + 大出力エンジン = じゃじゃ馬です。バランスを見極めましょう。
ced.max_health,最大耐久値
ced.label.engine,エンジン
ced.engine_power,エンジン出力
ced.engine_power.tip,まともに扱えるのは500BHPぐらいまでです。それ以上も出せますがオススメはできません。この値を変更した後は最高速度も調整しましょう！
ced.label.handling,操縦性
ced.steering_sensitivity,ステアリング感度
ced.steering_sensitivity.tip,ステアリングの効き具合や反応の敏感さを調整します。車体重量にも影響されます。
ced.label.grip,グリップ
ced.drift_factor,ドリフト係数（グリップあり）
ced.drift_factor.tip,グリップがある状態で、どれだけドリフトに入りやすいかを示しています。推奨値は0.8〜0.9です。
ced.slip_factor,Drift ドリフト係数（グリップなし）
ced.slip_factor.tip,グリップがない状態で、どれだけドリフトを維持しやすいかを表します。推奨値は0.95〜0.9999です。
ced.max_sticky_vel,横グリップ最大速度
ced.max_sticky_vel.tip,ドリフトに入らずにコーナーを曲がれる最大速度です。推奨値は1.0〜1.5です。
ced.label.gearbox,ギアボックス
ced.max_rpm,最大回転数(RPM)
ced.max_rpm.tip,エンジン音には直接影響しません！ 適切なエンジン音を選択してください。
ced.idle_rpm,アイドリング回転数(RPM)
ced.shift_time,シフト切替時間
ced.shift_time.tip,ギアのシフト切り替えにどれくらい時間がかかるかを指定します

ced.label.sounds,効果音
ced.sound.engine,エンジン
ced.sound.muffler,マフラー
ced.sound.turbo,ターボ
ced.sound.turbo.tip,ターボ音は、アップグレード済みのマシンで走行しているときのみ再生されます
ced.sound.charger,スーパーチャージャー
ced.sound.charger.tip,スーパーチャージャー音は、アップグレード済みのマシンで走行しているときのみ再生されます

ced.label.model,モデル名
ced.model_name,車体モデル名
ced.label.description,説明
ced.car_description_placeholder,あなたの新作について、何か特筆すべき点があれば是非ひとこと

ced.label.lights,ライト
ced.front_lights_width,フロントライト幅
ced.front_lights_pos,フロントライト位置
ced.rear_lights_width,テールランプ幅
ced.rear_lights_pos,テールランプ位置

ced.label.wheels,ホイール
ced.front_axle_width,前輪の間隔
ced.front_axle_pos,前輪の位置
ced.rear_axle_width,後輪の間隔
ced.rear_axle_pos,後輪の位置

ced.label.interior,内装
ced.interior_off_x,内装オフセットX
ced.interior_off_y,内装オフセットY

ced.label.collider,衝突判定
ced.collider_width,衝突判定 横幅
ced.collider_height,衝突判定 長さ
ced.center_of_mass,重心
ced.center_of_mass.tip,カーブでの旋回性能やドリフト時の挙動に影響します

ced.label.exhausts,排気
ced.exhaust_count,排気管数
ced.exhaust_width,排気管の幅
ced.exhaust_pos,排気管の位置

################################################################################

# Cutscenes

### Lore Cutscene ### <-- please get this one very well, it's something people usually see within first 2 minutes of the game

# In here {0} is the number of years and {1} is a date
cut.lore.1,よお！ アンタ{0}年前に大事故を起こした有名レーサーじゃないのか？ たしか{1}から冷凍睡眠装置に入っていたんだろ、そうなら最近のことをザックリ説明してやるよ。
# {0} is a date
cut.lore.2,昔、大儲けしたテック系企業あったよな。名前は思い出せないけどな。競合を排除して、{0}には世界経済を牛耳ってやがった。
# You should probably keep "Social Frontier of Activism" and SOFACT unchanged in your translation, for authenticity (company was not local after all)
cut.lore.3,その企業は科学的な探求をやる一方で、社内規則が複雑化しすぎて自分の首を絞めていたんだ。そして、ある時に"ソーシャル・フロンティア・オブ・アクティビズム"、略してSOFACTと名を変えた。
cut.lore.4,だが、結局ところ人間の本性には勝てなかったってワケだ。予期せぬ敵対的買収があったときに活動家どもは抹殺されて...まあ今もSOFACTは外面は善良に見えるが。昔ながらのゴロツキどもに支配されている。
# Please do not translate "Bloody Rally Show", or included it into parentheses next to translation. Example: "Kruvinojo Ralio Šou" (Bloody Rally Show)
cut.lore.5,新しい支配者どもは金儲けに大忙しだ。広告での儲けを最大化するために大衆娯楽に投資を続け、今や"ブラッディ・ラリー・ショー"は、ほとんどの奴にとって一番のお楽しみになってる。
cut.lore.6,ブラッディ・ラリー・ショーときたら、1980年代の悪名高いGroup Bの技術を使ってラリー黄金時代を再現しようとしてんだ。事故率はうなぎ上りだな。だがSNSのインフルエンサーどもは迫力あるバズりそうな写真を狙って群がる。
cut.lore.7,マシンをぶっ壊すなよ、相棒。でないと群衆に混じらなきゃならなくなるぜ。それじゃ、幸運を祈る！ ああ、そういえば名前を聞いてなかったな。

### Season Intro ### <-- please get this one very well too, it's part 2 of the main introduction

cut.intro.1,おい、新入り！ 遅刻だぞ！ 俺はブラッディ・ラリー・ショーの責任者だ。紹介したい人物がいる。
cut.intro.2,ごきげんよう、{0}。古いレーシングカーを上手く操れると聞いたから呼んだ。それでは、すばらしいショーを見せてもらおう！
cut.intro.2_2,おお、それから簡単な頼みごとをお願いすることがあるかもしれんな。大したことではない、心配は要らん！
cut.intro.3,ちょっと待って欲しい。なんで、これをやらなきゃならないんだ？
cut.intro.4,我々から冷凍休眠につく費用を借りているだろう、{0}！ シーズンの終わりで${1}を返済すれば、あとは好きにしろ。それまでは、お前をどうしようとSOFACTの勝手だ。
cut.intro.5,仕方がない…いつから始めればいい？
cut.intro.6,ついてこい、新入り。まず他のレーサーたちを紹介してやる。
cut.intro.7,おお、{0}！ また戻ってきたのか！？ 感心だな！
cut.intro.8,まだやるべきことがあるんだ、わかるだろ？
cut.intro.9,戻ってきてくれて嬉しい！ ついてこい、契約書にサインしてもらうぞ。

### Racer died cutscene

# {0} will be racer's name, {1} will be a "he" or "she"
cut.died.1,{0}は生き残れなかった。だが、{1}の名はランキングにずっと残り続けるだろう。
cut.died.2,*キーボードのFキーを押して敬意を示せ*
# {0} will be a plural insult, like "clowns"
cut.died.3,本当にキーを押す奴があるかよ、{0}！

### Mission cutscene (shared) <-- important to get right too, will be shared across dozen of missions!

cut.racer.mid_comment.1,なんてこった！
# {0} will be a curse word
cut.racer.mid_comment.2,{0}、またこれか。
# {0} will be a curse word
cut.racer.mid_comment.3,この{0}、給料いいといいな。
# {0} will be a curse adjective (like "friggin")
cut.racer.mid_comment.4,ああ、わかった。じゃあ{0}金の話をしろ。
# {0} will be a curse word (crap)
cut.racer.mid_comment.5,{0}、またかよ...

# {0} will be some name or title
cut.racer2gov.greet.1,{0}、お呼びだと聞いたが。
cut.racer2gov.greet.2,{0}、少々お時間をいただいても？
cut.racer2gov.greet.3,やあ、{0}。少々お願いがあるんだが。
cut.racer2gov.greet.4,*コン コン*
cut.racer2gov.greet.5,{0}、相談したいことがある。
cut.racer2gov.greet.6,入ってもいいですか？
cut.racer2gov.greet.7,やあ、{0}。手伝える仕事はないか？ 金欠なんだ。

# {0} will be a name or a title
cut.racer2racer.greet.1,よお、{0}！ 元気か？
cut.racer2racer.greet.2,{0}！ いいところに来たな！
cut.racer2racer.greet.3,よお、レース仲間！
cut.racer2racer.greet.4,おっ？ よお、{0}。気づかなかった。

cut.racer2racer.resp.1,よお、{0}。ターボの調子はどうだ？
cut.racer2racer.resp.2,そうだな...当ててみようか、何か頼み事だろ？
# {0} will be a curse adjective (friggin face)
cut.racer2racer.resp.3,またお前か。その{0}面、気に入らねえんだよ。
cut.racer2racer.resp.4,おいおい、昨日の夜にお前のタイヤに穴を開けたのは俺じゃねえぞ！
# {0} will be an insult (like clown)
cut.racer2racer.resp.5,何の用だ？ この{0}野郎。

cut.gov2racer.greet_resp.1,{0}君、どうぞ入りたまえ。
cut.gov2racer.greet_resp.2,{0}、お待ちしていたところだよ。
cut.gov2racer.greet_resp.3,まずは掛けたまえ。よく聞いてほしい。
# {0} Curse adjective - friggin cash
cut.gov2racer.greet_resp.4,追加で{0}金を稼ぎたくはないか？ どうかね？
# {0} Curse adjective - friggin cash
cut.gov2racer.greet_resp.5,私が思うに{0}金をもっと稼ぎたいだろう？ どうだね？

# {0} - insult singular
cut.call.1,おい、オマエ！ {0}！ こっちに来い。
# {0} - insult singular
cut.call.2,おい！ {0}！
# {0} - name or title
cut.call.3,{0}、お前を探していたところだ。
cut.call.4,{0}、ちょっといいか。何でそんなにせっかちな走り方をしているんだ？
cut.call.5,さて、また会ったな。
# {0} - insult singular
cut.call.6,お、ちょうど探していた{0}じゃねえか。
# {0} - racer name
cut.call.7,しばらくぶりじゃないか、{0}。
cut.call.8,ごきげんよう、{0}。
cut.call.9,よく来たな、{0}。
# {0} - insult singular
cut.call.10,またお前か、{0}。何の用だ？ まあ、せっかく来たんだから、これをやろう。

cut.call.resp.1,何の用だ？
cut.call.resp.2,...
# {0} - curse adjective (friggin point)
cut.call.resp.3,あー、ああ。早いとこ{0}要点を言ってくれ。
# {0} - name or title
cut.call.resp.4,お、おう。お会いできて光栄です。{0}。
cut.call.resp.5,ごきげんよう、{0}。
cut.call.resp.6,最近ちょっとカネに困っていてな。何かやれることでもあるのか？
cut.call.resp.7,一部のドライバーがマジで邪魔だ。手を貸してくれないか？
cut.call.resp.8,特別イベントへの招待でもあるのかい？ 視聴率アップに繋がるやつさ。

# {0} below is always government official name or title
cut.end.player2gov.1,努力してみるよ。
cut.end.player2gov.2,何でもいたしましょう、親愛なる{0}殿。
cut.end.player2gov.3,俺に選ぶ余地はないんだろ？
cut.end.player2gov.4,もう勘弁してくれ...
cut.end.player2gov.5,これ、いつ終わるんだ？
cut.end.player2gov.6,わかった、わかった、理解した。
cut.end.player2gov.7,そうするとしよう。
cut.end.player2gov.8,ああ、そりゃいいね。うん。
cut.end.player2gov.9,わかった、やってみよう。
cut.end.player2gov.10,おうちに帰りたい...
cut.end.player2gov.11,それじゃ失礼、{0}。
cut.end.player2gov.12,こんなチャンスをくれて、本当に感謝するよ！

cut.end.player2racer.1,へえ。そいつぁ楽しそうだ。
# {0} - name or title
cut.end.player2racer.2,何でもいたしましょう、親愛なる{0}様。
# {0} - insult singular (i.e. clown)
cut.end.player2racer.3,かかってこい、{0}め！
cut.end.player2racer.4,よし、やっとマシなことができる。
cut.end.player2racer.5,おう、楽しくなってきたな！
cut.end.player2racer.6,考えておくよ。
# {0} - racer name, {1} - curse word (i.e. crap)
cut.end.player2racer.7,{1}。{0}、アンタのことは気に入らんが。まあいい。
cut.end.player2racer.8,ああ、それでいいぞ。
# {0} - singular insult
cut.end.player2racer.9,もういい、{0}.

cut.end.racer2player.1,じゃな。
cut.end.racer2player.2,よし、またあとで。
cut.end.racer2player.3,お前のことは見ているからな。
cut.end.racer2player.4,背後に気をつけるんだな。
# {0} will be an noun insult (clown)
cut.end.racer2player.5,さあ行くぞ。マシンの埃でもくらっとけ、{0}！
cut.end.racer2player.6,それじゃ、行くか。
cut.end.racer2player.7,おしゃべりはいいから行動で示せよ。
cut.end.racer2player.8,じゃあな。
cut.end.racer2player.9,まあ、どうでもいい。
# {0} will be an noun insult (clown)
cut.end.racer2player.10,勝手にしろ、{0}が。

# {0} - curse adjective (goddamn security)
cut.end.gov.1,さあ行け。それとも{0}警備を呼んで、つまみ出されたいか。
# {0} - insult singular (clown)
cut.end.gov.2,失せろ、{0}が。

cut.end.gov.3,とっとと行きたまえ。終わるまでは戻るな。
# {0} - insult singular (clown)
cut.end.gov.4,じゃあな、{0}。
cut.end.gov.5,それでは、失礼。

cut.req.drift.1,言い忘れてたが。ドリフトでやらないとカウントはせん！
cut.req.drift.2,ああ、あとドリフトしながらやれ。視聴者にはそういうのがウケる。
cut.req.drift.3,やるならドリフトしながらやれ。
cut.req.drift.4,ああ、待て。お前に言い忘れていたな。ドリフト中にやれよ、観客も喜ぶ。
cut.req.drift.5,お前ならやれるだろう。見せてみろ、ドリフトしながらやれ。

cut.resp.drift.1,またかよ、これじゃ勝てないだろ！
# {0} - curse word (crap)
cut.resp.drift.2,ああ、{0}...
# {0} - curse word (crap)
cut.resp.drift.3,{0}、これはキツいな。
cut.resp.drift.4,いいだろう。理解した。
cut.resp.drift.5,了解。
# {0} - name of character (i.e. Brace)
cut.resp.drift.6,はい喜んで、{0}。
cut.resp.drift.7,サー！ イエッサー！
cut.resp.drift.8,ならドリフトでやるしかないな。
cut.resp.drift.9,言われなくたってドリフトでやるつもりだ！
cut.resp.drift.10,野暮言うな！任せろ！
# {0} - insult singular (clown)
cut.resp.drift.11,受けて立つぞ！ この{0}！

# In block blow, {0} will be second part of the sentence, generated somewhere 
# (i.e. for your trouble, you will receive $1000)
cut.reward.part.1,手間賃として{0}だ。
cut.reward.part.2,上手くいけば、{0}だ。
cut.reward.part.3_us,我々を失望させなければ、{0}だ。
cut.reward.part.3_me,私を失望させなければ、{0}だ。
cut.reward.part.4,結果を出せ。そうすれば、{0}だ。
cut.reward.part.5,しくじらなければ、{0}だ。
cut.reward.part.6,上手くやれ。そうすれば、{0}だ。

# Same here, {0} will be second part of sentence generated somewhere
# (i.e. if you fail me like you always do, I will think of some punishment)
cut.punish.part.1,失敗したら{0}！
cut.punish.part.2,上手くいかなかったら？ {0}。
cut.punish.part.3,いつもみたいに俺を失望させれば、{0}！
cut.punish.part.4,しくじってみろ？ {0}！
cut.punish.part.4_1,これをしくじるようなら、{0}！
cut.punish.part.4_2,それをしくじった場合は、{0}！
cut.punish.part.5,万が一やらかせば、わかるな？ {0}！
cut.punish.part.6,やる気がないなら{0}。

# In block below {0} will be generated sentence with reward part, {1} with punishment
# (i.e: If you succeed, you will get $1000, otherwise I will puncture your tires)
cut.rew.pun.part.1,これをやってくれ。そうすれば{0}だ。しくじれば{1}！
cut.rew.pun.part.2,報酬は{0}だ。だがビビって逃げてみろ、{1}！
cut.rew.pun.part.3,できるなら、{0}だ。でなければ、{1}！
cut.rew.pun.part.4,これをやってくれ。そうすれば{0}だ。だが失敗すれば当然容赦せんぞ。{1}！
cut.rew.pun.part.5,これをやれば{0}だ。だが失敗していいと思うなよ。{1}！
cut.rew.pun.part.6,{0}だ。これをくれてやる。だが、期待を裏切ったら{1}！
cut.rew.pun.part.7,手間賃は{0}だ。だが、失敗すれば{1}！
cut.rew.pun.part.8,この報酬は{0}だ。出来なければ{1}。
cut.rew.pun.part.9,成功すれば{0}だ。だが、いつもみたいにしくじったら{1}！

# Rewards told by government agent. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
# {0} will be a number
cut.rew.gov.cash.1,${0}
cut.rew.gov.cash.2,${0}の受け取り
cut.rew.gov.cash.3,我々の用意した${0}
cut.rew.gov.cash.4,我々が支払うよう手配した${0}
cut.rew.gov.cash.5,ポケットマネーの${0}
cut.rew.gov.car,直々に新品のマシンのプレゼント
cut.rew.gov.pts,記録をいじって{0}ポイントの追加
cut.rew.gov.rnd,楽しいサプライズ
cut.rew.gov.aero,エンジニアによるマシンの空力性能の改善
cut.rew.gov.turbo,整備士に言ってマシンのターボをデカい奴への交換
cut.rew.gov.engine,マシンのリミッターを整備士がいじってエンジン性能アップ
cut.rew.gov.gears,無償でギアのアップグレード
cut.rew.gov.grip,新グリップがマシになる新品のタイヤ
cut.rew.gov.none,何もくれてやらんぞ！ ハハハ！

# Rewards told by other racer. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
# {0} will be a number
cut.rew.racer.cash.1,俺のヘソクリの${0}
cut.rew.racer.cash.2,${0}分の食券
cut.rew.racer.cash.3,ポケットマネーを全部、約${0}
cut.rew.racer.cash.4,銀行で借金して支払ってやるよ、${0}
cut.rew.racer.cash.5,振り込みで${0}
cut.rew.racer.car,俺が賭けるのは新しいマシン
cut.rew.racer.pts,レースの成績を改ざんできる知り合いがいる。{0}ポイントを追加
cut.rew.racer.rnd,用意したプレゼント
cut.rew.racer.aero,ダクトテープとWD-40でお前のマシンの空力性能をマシにしてやるアイデア
cut.rew.racer.turbo,ターボをピカピカに磨いてやろう
cut.rew.racer.engine,もっといいエンジンに載せ替え
cut.rew.racer.gears,ギアにショートシフターを取り付け
cut.rew.racer.grip,交換すればグリップはバッチリ。俺が賭けるのは新品のタイヤ
cut.rew.racer.none,何かもらえるわけないだろ！ハハハ！

# Punishments told by government agent. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
cut.punish.gov.cash.1,${0}を失うことになる
cut.punish.gov.cash.2,我々に${0}を払え
cut.punish.gov.cash.3,貴様のマシンの保険料が${0}アップだ
cut.punish.gov.cash.4,${0}を銀行口座から抜くぞ
cut.punish.gov.cash.5,この新作ソシャゲで100ダイヤ買うのに${0}を出してもらう
cut.punish.gov.car,直々に歩行者キャノンを撃ち込んでマシンをバラバラにしてやる。どんな整備士でも直せんぞ
cut.punish.gov.pts,データベースを修正してお前のポイントを{0}減らしてやる
cut.punish.gov.rnd,タダではすまさん。ニュース速報にも載せてやる。覚悟しろ、お前の顔も載るぞ
cut.punish.gov.aero,整備士に言ってラジエータグリルに{0}をぶち込ませて空力性能を台無しにしてやる
cut.punish.gov.turbo,俺がお前のマシンのターボに{0}をぶち込んでやる
